2026-04-21 23:34:35 | INFO    | src.gemini_client | Arquivo pronto: files/do7t63kz2feg (estado=ACTIVE)
2026-04-21 23:35:26 | INFO    | src.gemini_client | Enviando PDF: 202306-9010-08561701.pdf (1.32 MB)
2026-04-21 23:35:29 | INFO    | src.gemini_client | Arquivo pronto: files/7s99yla3b6my (estado=ACTIVE)
2026-04-21 23:36:27 | INFO    | src.gemini_client | Enviando PDF: 202312-9010-08561701.pdf (1.43 MB)
2026-04-21 23:36:30 | INFO    | src.gemini_client | Arquivo pronto: files/gmsf8fjynkje (estado=ACTIVE)
2026-04-21 23:37:10 | INFO    | src.gemini_client | Enviando PDF: 202406-9010-08561701.pdf (1.56 MB)
2026-04-21 23:37:16 | INFO    | src.gemini_client | Arquivo pronto: files/rv7sxntf0i7j (estado=ACTIVE)
2026-04-21 23:37:56 | INFO    | src.gemini_client | Enviando PDF: 202412-9010-08561701.pdf (1.13 MB)
2026-04-21 23:38:00 | INFO    | src.gemini_client | Arquivo pronto: files/f97lrim5x26k (estado=ACTIVE)
2026-04-21 23:38:42 | INFO    | src.gemini_client | Enviando PDF: 202506-9010-08561701.pdf (1.16 MB)
2026-04-21 23:38:45 | INFO    | src.gemini_client | Arquivo pronto: files/6zb9vtgzbpii (estado=ACTIVE)
2026-04-21 23:39:28 | INFO    | src.gemini_client | Enviando PDF: 202512-9010-08561701.pdf (1.45 MB)
2026-04-21 23:39:31 | INFO    | src.gemini_client | Arquivo pronto: files/drsk5czxgrju (estado=ACTIVE)
2026-04-21 23:40:13 | INFO    | src.csv_builder | CSV gerado: /app/CSV/08561701/08561701.csv (13 linhas)
2026-04-21 23:40:13 | INFO    | src.institution_processor | ==> Instituição 09089356 (13 arquivo(s))
2026-04-21 23:40:13 | INFO    | src.gemini_client | Enviando PDF: 201912-9010-09089356.pdf (0.79 MB)
2026-04-21 23:40:16 | INFO    | src.gemini_client | Arquivo pronto: files/1u42ar5nwc7b (estado=ACTIVE)
2026-04-21 23:41:03 | INFO    | src.gemini_client | Enviando PDF: 202006-9010-09089356.pdf (0.63 MB)
2026-04-21 23:41:06 | INFO    | src.gemini_client | Arquivo pronto: files/1ab4x6qkbsz7 (estado=ACTIVE)
2026-04-21 23:42:07 | INFO    | src.gemini_client | Enviando PDF: 202012-9010-09089356.pdf (1.72 MB)
2026-04-21 23:42:21 | INFO    | src.gemini_client | Arquivo pronto: files/akwks30kv68s (estado=ACTIVE)
2026-04-21 23:43:26 | INFO    | src.gemini_client | Enviando PDF: 202106-9010-09089356.pdf (1.42 MB)
2026-04-21 23:43:30 | INFO    | src.gemini_client | Arquivo pronto: files/jflsvdn3vrqr (estado=ACTIVE)
2026-04-21 23:44:25 | WARNING | src.gemini_client | Resposta de 202106-9010-09089356.pdf veio como lista de 1 elemento — desembrulhando.
2026-04-21 23:44:28 | INFO    | src.gemini_client | Enviando PDF: 202112-9010-09089356.pdf (4.51 MB)
2026-04-21 23:44:32 | INFO    | src.gemini_client | Arquivo pronto: files/azvh0ixwi540 (estado=ACTIVE)
2026-04-21 23:45:32 | INFO    | src.gemini_client | Enviando PDF: 202206-9010-09089356.pdf (1.26 MB)
2026-04-21 23:45:35 | INFO    | src.gemini_client | Arquivo pronto: files/ks9i8r407p2e (estado=ACTIVE)
2026-04-21 23:46:21 | INFO    | src.gemini_client | Enviando PDF: 202212-9010-09089356.pdf (1.36 MB)
2026-04-21 23:46:24 | INFO    | src.gemini_client | Arquivo pronto: files/mw8y6ex7275u (estado=ACTIVE)
2026-04-21 23:47:19 | WARNING | src.gemini_client | Resposta de 202212-9010-09089356.pdf veio como lista de 1 elemento — desembrulhando.
2026-04-21 23:47:22 | INFO    | src.gemini_client | Enviando PDF: 202306-9010-09089356.pdf (1.20 MB)
2026-04-21 23:47:25 | INFO    | src.gemini_client | Arquivo pronto: files/0lik501dteyv (estado=ACTIVE)
2026-04-21 23:48:06 | INFO    | src.gemini_client | Enviando PDF: 202312-9010-09089356.pdf (2.25 MB)
2026-04-21 23:48:10 | INFO    | src.gemini_client | Arquivo pronto: files/n71dc5lbf23p (estado=ACTIVE)
2026-04-21 23:48:55 | INFO    | src.gemini_client | Enviando PDF: 202406-9010-09089356.pdf (1.34 MB)
2026-04-21 23:49:00 | INFO    | src.gemini_client | Arquivo pronto: files/keflh0dv5g3s (estado=ACTIVE)
2026-04-21 23:49:56 | INFO    | src.gemini_client | Enviando PDF: 202412-9010-09089356.pdf (2.49 MB)
2026-04-21 23:49:59 | INFO    | src.gemini_client | Arquivo pronto: files/sepzmnkteivf (estado=ACTIVE)
2026-04-21 23:50:44 | INFO    | src.gemini_client | Enviando PDF: 202506-9010-09089356.pdf (18.82 MB)
2026-04-21 23:50:55 | INFO    | src.gemini_client | Arquivo pronto: files/o3onqaz00rtc (estado=ACTIVE)
2026-04-21 23:51:49 | INFO    | src.gemini_client | Enviando PDF: 202512-9010-09089356.pdf (2.25 MB)
2026-04-21 23:51:53 | INFO    | src.gemini_client | Arquivo pronto: files/mzgwpmbnpgx9 (estado=ACTIVE)
2026-04-21 23:52:41 | INFO    | src.csv_builder | CSV gerado: /app/CSV/09089356/09089356.csv (13 linhas)
