bloco,escopo,nivel,descricao,valor,cnpj,periodo
DR,CON,14,Lucro líquido por ação (em R$) - Diluído,180.35000000000002,01027058,2020-12-31
DRA,IND,1,Lucro líquido do período,490249000.0,01027058,2020-12-31
DRA,CON,1,Lucro líquido do período,631513000.0,01027058,2020-12-31
DRA,IND,4,Variação cambial sobre investimentos no exterior,-250349000.0,01027058,2020-12-31
DRA,CON,4,Variação cambial sobre investimentos no exterior,-250349000.0,01027058,2020-12-31
DRA,IND,5,Benefício pós-emprego,13866000.0,01027058,2020-12-31
DRA,CON,5,Benefício pós-emprego,13866000.0,01027058,2020-12-31
DRA,IND,6,Movimentações do período,-236483000.0,01027058,2020-12-31
DRA,CON,6,Movimentações do período,-236483000.0,01027058,2020-12-31
DRA,IND,7,Resultado abrangente total do período,253766000.0,01027058,2020-12-31
DRA,CON,7,Resultado abrangente total do período,395030000.0,01027058,2020-12-31
DRA,IND,9,Acionistas controladores,0.0,01027058,2020-12-31
DRA,CON,9,Acionistas controladores,253766000.0,01027058,2020-12-31
DRA,IND,10,Outros acionistas que não a Cielo,0.0,01027058,2020-12-31
DRA,CON,10,Outros acionistas que não a Cielo,141264000.0,01027058,2020-12-31
DFC,IND,2,Lucro antes do imposto de renda e da contribuição social,667425000.0,01027058,2020-12-31
DFC,CON,2,Lucro antes do imposto de renda e da contribuição social,950973000.0,01027058,2020-12-31
DFC,IND,4,Depreciações e amortizações,472729000.0,01027058,2020-12-31
DFC,CON,4,Depreciações e amortizações,1228503000.0,01027058,2020-12-31
DFC,IND,5,Baixas/perdas de imobilizado e intangível,42995000.0,01027058,2020-12-31
DFC,CON,5,Baixas/perdas de imobilizado e intangível,83910000.0,01027058,2020-12-31
DFC,IND,6,Equivalência patrimonial,11366000.0,01027058,2020-12-31
DFC,CON,6,Equivalência patrimonial,1882000.0,01027058,2020-12-31
DFC,IND,7,Variação cambial sobre imobilizado e intangível,0.0,01027058,2020-12-31
DFC,CON,7,Variação cambial sobre imobilizado e intangível,-138741000.0,01027058,2020-12-31
DFC,IND,8,Ações restritas outorgadas,13468000.0,01027058,2020-12-31
DFC,CON,8,Ações restritas outorgadas,13468000.0,01027058,2020-12-31
DFC,IND,9,Transferência de ações em tesouraria pelo exercício de ações,-11597000.0,01027058,2020-12-31
DFC,CON,9,Transferência de ações em tesouraria pelo exercício de ações,-11597000.0,01027058,2020-12-31
DFC,IND,10,Perdas com créditos incobráveis e fraude,255540000.0,01027058,2020-12-31
DFC,CON,10,Perdas com créditos incobráveis e fraude,511854000.0,01027058,2020-12-31
DFC,IND,11,"Provisão para riscos tributários, cíveis e trabalhistas",60360000.0,01027058,2020-12-31
DFC,CON,11,"Provisão para riscos tributários, cíveis e trabalhistas",58103000.0,01027058,2020-12-31
DFC,IND,12,Variação cambial sobre juros de empréstimos e financiamentos captados no exterior,301535000.0,01027058,2020-12-31
DFC,CON,12,Variação cambial sobre juros de empréstimos e financiamentos captados no exterior,788882000.0,01027058,2020-12-31
DFC,IND,13,Resultado com instrumentos financeiros derivativos,-302417000.0,01027058,2020-12-31
DFC,CON,13,Resultado com instrumentos financeiros derivativos,-302417000.0,01027058,2020-12-31
DFC,IND,14,Juros sobre empréstimos e financiamentos,252806000.0,01027058,2020-12-31
DFC,CON,14,Juros sobre empréstimos e financiamentos,254397000.0,01027058,2020-12-31
DFC,IND,15,Amortização de custos de emissão de dívidas,33700000.0,01027058,2020-12-31
DFC,CON,15,Amortização de custos de emissão de dívidas,33700000.0,01027058,2020-12-31
DFC,IND,16,Rendimento de participação no FIDC,-424441000.0,01027058,2020-12-31
DFC,CON,16,Rendimento de participação no FIDC,0.0,01027058,2020-12-31
DFC,IND,18,Rendas a receber,-53457000.0,01027058,2020-12-31
DFC,CON,18,Rendas a receber,-89964000.0,01027058,2020-12-31
DFC,IND,19,Contas a receber de emissores,1606484000.0,01027058,2020-12-31
DFC,CON,19,Contas a receber de emissores,1505082000.0,01027058,2020-12-31
DFC,IND,20,Contas a receber com partes relacionadas,191628000.0,01027058,2020-12-31
DFC,CON,20,Contas a receber com partes relacionadas,0.0,01027058,2020-12-31
DFC,IND,21,Impostos e contribuições a compensar/recuperar,-386488000.0,01027058,2020-12-31
DFC,CON,21,Impostos e contribuições a compensar/recuperar,-349266000.0,01027058,2020-12-31
DFC,IND,22,Depósitos judiciais,10215000.0,01027058,2020-12-31
DFC,CON,22,Depósitos judiciais,15153000.0,01027058,2020-12-31
DFC,IND,23,Outros valores e bens,41748000.0,01027058,2020-12-31
DFC,CON,23,Outros valores e bens,33377000.0,01027058,2020-12-31
DFC,IND,24,Outros ativos,-102282000.0,01027058,2020-12-31
DFC,CON,24,Outros ativos,-91735000.0,01027058,2020-12-31
DFC,IND,25,"Instrumentos financeiros, incluindo derivativos",130065000.0,01027058,2020-12-31
DFC,CON,25,"Instrumentos financeiros, incluindo derivativos",-391055000.0,01027058,2020-12-31
DFC,IND,27,Sociais e estatutárias:,-2688000.0,01027058,2020-12-31
DFC,CON,27,Sociais e estatutárias:,-2736000.0,01027058,2020-12-31
DFC,IND,28,Fiscais e previdenciárias,-6974000.0,01027058,2020-12-31
DFC,CON,28,Fiscais e previdenciárias,30884000.0,01027058,2020-12-31
DFC,IND,29,Contas a pagar a estabelecimentos,-1275899000.0,01027058,2020-12-31
DFC,CON,29,Contas a pagar a estabelecimentos,-1575936000.0,01027058,2020-12-31
DFC,IND,30,Contas a pagar com partes relacionadas,-4847033000.0,01027058,2020-12-31
DFC,CON,30,Contas a pagar com partes relacionadas,0.0,01027058,2020-12-31
DFC,IND,31,Provisões para contingências,-47654000.0,01027058,2020-12-31
DFC,CON,31,Provisões para contingências,-50131000.0,01027058,2020-12-31
