inst_hash,bloco,escopo,nivel,descricao,valor,periodo
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,BP,CON,2.1.03.04,Contas a pagar a estabelecimentos,79660132649.57321,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,BP,IND,2.1.03.05,Contas a pagar com partes relacionadas,6525264868.726997,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,BP,CON,2.1.03.05,Contas a pagar com partes relacionadas,0.0,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,BP,IND,2.1.03.06,Outras,769801492.1625153,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,BP,CON,2.1.03.06,Outras,1792451661.7368612,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,BP,IND,2.2,Total do passivo exigível a longo prazo,13086230709.866041,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,BP,CON,2.2,Total do passivo exigível a longo prazo,13964352622.893791,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,BP,IND,2.2.01,Obrigações por empréstimos,8901475987.675856,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,BP,CON,2.2.01,Obrigações por empréstimos,11483293031.98809,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,BP,IND,2.2.02,Outras obrigações,4184754722.190185,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,BP,CON,2.2.02,Outras obrigações,2481059590.9056997,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,BP,IND,2.2.02.01,Provisões para contingências,2346764039.64855,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,BP,CON,2.2.02.01,Provisões para contingências,2371448151.8913937,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,BP,IND,2.2.02.02,Impostos e contribuições diferidos,0.0,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,BP,CON,2.2.02.02,Impostos e contribuições diferidos,44965091.65758419,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,BP,IND,2.2.02.03,Provisão para obrigações com investidas,1792737981.446246,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,BP,CON,2.2.02.03,Provisão para obrigações com investidas,134131.75574772706,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,BP,IND,2.2.02.04,Outras,45252701.09538941,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,BP,CON,2.2.02.04,Outras,64512215.600974105,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,BP,IND,2.2.02.05,Obrigações com cotas de terceiros FIDC,0.0,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,BP,CON,2.2.02.05,Obrigações com cotas de terceiros FIDC,0.0,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,BP,IND,2.3.01,Acionistas controladores,12240624140.051329,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,BP,CON,2.3.01,Acionistas controladores,12240624140.051329,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,BP,IND,2.3.01.01,Capital social,7351451997.711964,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,BP,CON,2.3.01.01,Capital social,7351451997.711964,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,BP,IND,2.3.01.02,Reservas de capital,87094070.51815635,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,BP,CON,2.3.01.02,Reservas de capital,87094070.51815635,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,BP,IND,2.3.01.03,Reservas de lucros,5200065047.322605,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,BP,CON,2.3.01.03,Reservas de lucros,5200065047.322605,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,BP,IND,2.3.01.04,Outros resultados abrangentes,-288598659.5038619,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,BP,CON,2.3.01.04,Outros resultados abrangentes,-288598659.5038619,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,BP,IND,2.3.01.05,(-) Ações em tesouraria,-109388315.99753337,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,BP,CON,2.3.01.05,(-) Ações em tesouraria,-109388315.99753337,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,BP,IND,2.3.02,Outros acionistas que não a Cielo,0.0,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,BP,CON,2.3.02,Outros acionistas que não a Cielo,4017320888.8928227,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,DR,IND,1,Receita líquida,6030218091.201074,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,DR,CON,1,Receita líquida,14426918879.874033,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,DR,IND,2,Custo dos serviços prestados,-3637877628.623551,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,DR,CON,2,Custo dos serviços prestados,-10409588962.882267,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,DR,IND,3,Lucro Bruto,2392340462.5775228,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,DR,CON,3,Lucro Bruto,4017329916.9917674,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,DR,IND,4.1,Pessoal,-370166243.73952776,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,DR,CON,4.1,Pessoal,-996357765.9909502,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,DR,IND,4.2,Gerais e administrativas,-659212439.0053556,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,DR,CON,4.2,Gerais e administrativas,-657320407.4122603,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,DR,IND,4.3,Vendas e marketing,-167333234.48055145,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,DR,CON,4.3,Vendas e marketing,-481605227.9258966,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,DR,IND,4.4,Equivalência patrimonial,-14659053.229121786,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,DR,CON,4.4,Equivalência patrimonial,-2427268.887665599,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,DR,IND,4.5,"Outras despesas operacionais, líquidas",-463494861.44311213,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,DR,CON,4.5,"Outras despesas operacionais, líquidas",-809806288.3142749,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,DR,IND,5,Lucro operacional,717474630.6798539,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,DR,CON,5,Lucro operacional,1069812958.4607198,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,DR,IND,6.1,Receitas financeiras,68118296.26511492,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,DR,CON,6.1,Receitas financeiras,207180683.76499158,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,DR,IND,6.2,Despesas financeiras,-433954921.6965165,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,DR,CON,6.2,Despesas financeiras,-660221006.6303049,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,DR,IND,6.4,Rendimento de cotas FIDCs e Antecipação de Recebíveis,547413620.5896251,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,DR,CON,6.4,Rendimento de cotas FIDCs e Antecipação de Recebíveis,648310364.6655909,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,DR,IND,6.4,"Ganho e (perda) de variação cambial, líquida",-38254634.68493588,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,DR,CON,6.4,"Ganho e (perda) de variação cambial, líquida",-38586094.88904325,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,DR,IND,7,Lucro operacional antes do imposto e renda e da contribuição social,860796991.1531416,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,DR,CON,7,Lucro operacional antes do imposto e renda e da contribuição social,1226496905.3719542,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,DR,IND,8.1,Correntes,-262332050.4888791,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,DR,CON,8.1,Correntes,-512906936.69510174,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,DR,IND,8.2,Diferidos,33823127.831578285,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,DR,CON,8.2,Diferidos,100890295.43386246,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,DR,IND,9,Lucro líquido do período,632288068.4958408,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,DR,CON,9,Lucro líquido do período,814480264.1107149,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,DR,IND,11,Acionistas controladores,0.0,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,DR,CON,11,Acionistas controladores,632288068.4958408,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,DR,IND,12,Outros acionistas que não a Cielo,0.0,2020-12-31
66eedfea72318463060491b62a7d3be23571106207e15e2ab1ab333e4d36fb76,DR,CON,12,Outros acionistas que não a Cielo,182192195.61487418,2020-12-31
